readout	region	pairing	metric	value	p
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep1	RNA-	0.00102787	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep1	CTCF	0.275288	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep1	Cohesin	0.269128	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep1	H3K27ac	0.269474	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep2	ATAC	0.0612206	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep2	RNA+	0.0107452	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep2	RNA-	0.00108042	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep2	CTCF	0.259504	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep2	Cohesin	0.295711	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep2	H3K27ac	0.371738	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep1	ATAC	0.177706	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep1	RNA+	3.69275e-05	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep1	RNA-	0	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep1	CTCF	0.219376	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep1	Cohesin	0.369174	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep1	H3K27ac	0.233707	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep2	ATAC	0.0585616	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep2	RNA+	0	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep2	RNA-	0	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep2	CTCF	0.208007	
