readout	region	pairing	metric	value	p
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep1	Cohesin	0.368333	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep1	H3K27ac	0.38021	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep2	ATAC	0.0196865	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep2	RNA+	0.000194547	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep2	RNA-	0	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep2	CTCF	0.237236	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep2	Cohesin	0.393539	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep2	H3K27ac	0.349344	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep1	ATAC	0.0117367	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep1	RNA+	0.0987652	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep1	RNA-	0.0656623	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep1	CTCF	0.242836	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep1	Cohesin	0.290917	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep1	H3K27ac	0.290083	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep2	ATAC	0.0209693	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep2	RNA+	0.0929262	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep2	RNA-	0.0635812	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep2	CTCF	0.225714	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep2	Cohesin	0.315524	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep2	H3K27ac	0.281286	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep1	ATAC	0.0153294	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep1	RNA+	0.0938603	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep1	RNA-	0.0685582	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep1	CTCF	0.186595	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep1	Cohesin	0.353466	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep1	H3K27ac	0.282191	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep2	ATAC	0.0247832	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep2	RNA+	0.0905909	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep2	RNA-	0.0666896	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep2	CTCF	0.165984	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep2	Cohesin	0.353387	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep2	H3K27ac	0.298565	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep1	ATAC	0.0198385	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep1	RNA+	0.00132845	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep1	RNA-	0.000165139	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep1	CTCF	0.256242	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep1	Cohesin	0.315044	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep1	H3K27ac	0.407382	
