readout	region	pairing	metric	value	p
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep1	Cohesin	0.293738	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep1	H3K27ac	0.227459	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep2	ATAC	0.00336161	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep2	RNA+	0.0606358	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep2	RNA-	0.0400935	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep2	CTCF	0.377506	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep2	Cohesin	0.296272	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep2	H3K27ac	0.222131	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep1	ATAC	0.0328494	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep1	RNA+	0.0482153	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep1	RNA-	0.0322971	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep1	CTCF	0.278562	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep1	Cohesin	0.344632	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep1	H3K27ac	0.263445	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep2	ATAC	0.00647434	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep2	RNA+	0.0452567	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep2	RNA-	0.0272726	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep2	CTCF	0.336103	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep2	Cohesin	0.329571	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep2	H3K27ac	0.255322	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep1	ATAC	0.0141366	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep1	RNA+	0	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep1	RNA-	0	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep1	CTCF	0.324006	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep1	Cohesin	0.322287	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep1	H3K27ac	0.339571	
